start lat, start long, dest lat, dest long, dijkstra time, astar time, dijsktra node pulls,  astar node pulls, dijkstra found, astar found, index
80.1,95.22,52.74,153.18,7.58E-04,0.0011758,3,3,false,false,46
5.22,-21.42,41.22,-21.42,0.5342578,0.0011721,2573363,101,true,true,671
-8.46,-13.5,-40.5,-10.98,0.5336692,0.0048814,2573363,106,true,true,395
-5.94,-7.38,-36.54,-5.22,0.5434934,0.0050828,2573363,119,true,true,436
50.94,-34.02,14.94,-33.3,0.5322493,0.0012864,2573363,161,true,true,74
-9.54,68.22,-45.9,66.06,0.5446482,0.001281,2573363,161,true,true,269
84.06,75.06,85.86,76.5,0.5499621,0.0011997,2573363,169,true,true,479
-74.34,-152.1,-57.42,-149.94,0.537677,0.0012754,2573363,183,true,true,174
-57.78,88.38,10.62,88.38,0.5517047,0.0013368,2573363,191,true,true,442
-6.66,-164.7,37.98,-168.66,0.5404737,0.0015544,2573363,199,true,true,53
-0.9,-139.5,54.18,-138.06,0.5420167,0.0014226,2573363,206,true,true,467
-17.46,-171.54,20.7,150.3,0.5403271,0.0015397,2573363,212,true,true,867
4.14,-97.38,-27.9,-99.18,0.5351322,0.0012628,2573363,287,true,true,887
-63.9,1.62,-31.5,-3.42,0.5319636,0.0013372,2573363,310,true,true,687
-56.34,-17.46,49.5,-18.54,0.549231,0.0018525,2573363,319,true,true,404
-62.1,34.02,-63.9,36.54,0.54717,0.0012012,2573363,335,true,true,363
60.3,160.02,38.34,150.3,0.5411089,0.0012992,2573363,371,true,true,22
23.58,-124.74,-35.82,-120.78,0.5350182,0.0014149,2573363,455,true,true,985
-31.14,80.1,-40.14,72.18,0.5446419,0.0013205,2573363,499,true,true,552
77.22,147.78,81.54,151.02,0.525877,0.0057273,2573363,912,true,true,935
-21.06,-11.7,-43.38,-2.34,0.6446735,0.0016684,2573363,957,true,true,452
-7.38,-157.86,-49.14,-150.66,0.5533053,0.0018021,2573363,1084,true,true,544
-49.14,-35.1,-19.26,-30.06,0.5456198,0.0022178,2573363,1676,true,true,378
33.3,-22.5,87.66,-10.26,0.5308869,0.0023146,2573363,1965,true,true,936
-50.94,79.02,-61.02,71.82,0.5478497,0.0022674,2573363,2180,true,true,698
41.94,-171.9,64.26,-179.1,0.5311805,0.0061433,2573363,2187,true,true,87
1.98,170.46,0.54,-167.94,0.5340182,0.0018445,2573363,2605,true,true,650
-36.54,-175.86,-20.7,-167.58,0.5294887,0.0020988,2573363,2697,true,true,481
41.58,37.26,-39.42,-123.66,0.0012553,0.0017094,2797,2797,false,false,789
-45.54,-122.58,-42.3,-131.58,0.5381273,0.0056339,2573363,2836,true,true,861
-1.26,-39.78,-76.14,-29.34,0.5392444,0.0029472,2573363,3065,true,true,883
-39.06,-132.66,-19.62,-140.94,0.5374381,0.0025267,2573363,3094,true,true,754
-22.86,-1.98,-52.38,-13.5,0.5310553,0.0028105,2573363,3227,true,true,681
77.94,115.38,77.94,121.5,0.5394812,0.0019375,2573363,3232,true,true,252
40.5,-174.78,33.66,174.06,0.526397,0.0023852,2573363,3347,true,true,941
-15.3,-95.94,-35.82,-112.5,0.5456992,0.0022476,2573363,3352,true,true,6
42.66,-10.98,-51.3,-21.78,0.5812984,0.00305,2573363,3392,true,true,881
-17.46,-116.46,-51.66,-103.86,0.5387202,0.0029589,2573363,3776,true,true,809
82.62,-50.58,89.1,-58.14,0.5515725,0.0025709,2573363,3979,true,true,635
76.86,-169.02,22.5,173.34,0.5304178,0.0030426,2573363,4024,true,true,68
0.18,-118.98,-17.1,-99.18,0.5329466,0.0068657,2573363,4261,true,true,720
-12.42,155.7,16.02,158.58,0.5271113,0.00276,2573363,4447,true,true,93
13.5,177.66,18.9,-167.22,0.5390608,0.0024659,2573363,4662,true,true,216
-77.22,-179.46,76.5,-169.74,0.5272077,0.0044303,2573363,4934,true,true,696
-30.78,71.46,-9.54,64.62,0.5418227,0.0030445,2573363,5505,true,true,253
-12.06,-105.66,-48.42,-122.58,0.5365732,0.0037355,2573363,5667,true,true,602
-14.58,-34.74,-45.9,-5.94,0.5436415,0.0040149,2573363,6298,true,true,711
-13.5,170.1,34.38,-143.82,0.5281568,0.0043688,2573363,6605,true,true,960
17.46,-153.9,22.86,-135.54,0.5459476,0.0032609,2573363,7088,true,true,610
-53.46,-13.5,1.62,-9.18,0.5386702,0.0039427,2573363,7214,true,true,737
-5.58,-18.9,0.54,-40.5,0.5345649,0.0033497,2573363,7461,true,true,407
-27.9,162.54,44.1,175.14,0.5563025,0.0044722,2573363,7590,true,true,320
-3.06,-0.9,42.66,-22.5,0.5317628,0.0039168,2573363,7692,true,true,159
39.78,-135.9,-57.06,-150.66,0.5397462,0.0100293,2573363,7787,true,true,799
-7.02,-111.78,-9.54,-145.26,0.5394088,0.0037341,2573363,8357,true,true,215
12.42,-121.5,-21.78,-157.86,0.5406411,0.0047113,2573363,8458,true,true,911
-47.34,76.14,-17.1,56.34,0.5398685,0.0048126,2573363,8787,true,true,82
-7.02,-12.42,70.02,-10.98,0.5361581,0.0054706,2573363,8800,true,true,411
-25.38,90.18,-18.54,68.94,0.6061573,0.0039203,2573363,9541,true,true,312
86.58,-175.86,63.54,-176.94,0.5327148,0.0050704,2573363,9591,true,true,736
-63.54,-160.74,-17.1,-129.06,0.5348924,0.0057231,2573363,10000,true,true,340
-60.3,-64.62,-63.54,-78.66,0.5566758,0.0042656,2573363,10014,true,true,327
87.3,-152.1,30.78,-160.74,0.5455525,0.0058609,2573363,10149,true,true,272
