start lat, start long, dest lat, dest long, dijkstra time, astar time, dijsktra node pulls,  astar node pulls, dijkstra found, astar found, index
-12.555000000000007,99.76499999999999,89.595,-31.455000000000013,11.6616686,12.9861156,41854149,22463205,true,true,0
48.55500000000001,-27.405,67.185,-4.4550000000000125,13.2514494,0.2409173,41854149,431939,true,true,1
12.375,-34.69499999999999,87.345,-54.405,12.6247207,2.55174,41854149,3855641,true,true,2
76.725,158.175,-62.865,147.735,11.5898611,1.6572479,41854149,2991647,true,true,3
11.024999999999991,-15.615000000000009,78.70499999999998,-156.015,11.4630642,5.476619,41854149,10025127,true,true,4
-58.545,-52.69500000000001,-64.305,29.655,11.8180662,1.5810003,41854149,3583615,true,true,5
37.125,-20.025000000000006,22.004999999999995,-32.44499999999999,11.2791513,0.0299135,41854149,33431,true,true,6
14.084999999999994,87.70499999999998,85.63499999999999,-2.9250000000000114,11.4436292,10.2307201,41854149,18061117,true,true,7
-11.835000000000008,-15.525000000000006,-64.395,9.495000000000005,11.2752641,0.2896434,41854149,472040,true,true,8
76.63499999999999,155.20499999999998,-21.644999999999996,82.935,11.2565064,2.6330534,41854149,5318461,true,true,9
-58.005,101.02499999999998,49.185,-130.365,11.3494427,4.5378539,41854149,7778535,true,true,10
-41.625,-137.115,-37.125,76.36500000000001,11.3006495,4.5981132,41854149,9024739,true,true,11
70.965,-150.435,-31.455000000000005,-158.985,11.9527438,0.2785832,41854149,522173,true,true,12
-16.784999999999997,121.09499999999997,59.625,170.77499999999998,10.8369038,0.7008761,41854149,1247444,true,true,13
-5.085000000000008,68.80499999999998,-46.665,-96.25500000000001,11.222316,8.4062898,41854149,14971150,true,true,14
-10.575000000000003,-149.175,9.674999999999997,116.86500000000001,11.4239263,0.9680167,41854149,2271099,true,true,15
89.685,51.16499999999999,-50.175000000000004,-30.194999999999993,11.6679742,0.5845134,41854149,1250589,true,true,16
-56.475,-54.855000000000004,5.444999999999993,-38.83500000000001,11.6973869,0.4640201,41854149,555050,true,true,17
-32.085,-174.915,-47.745000000000005,-135.405,11.0866025,0.4906479,41854149,1060399,true,true,18
-64.215,93.73500000000001,-4.185000000000002,-117.135,11.3278195,3.2192846,41854149,7110099,true,true,19
-36.765,-126.765,-71.775,-146.745,11.5776545,0.2083945,41854149,340830,true,true,20
78.79499999999999,151.33499999999998,-49.545,-171.225,11.3565394,0.4135938,41854149,874814,true,true,21
-32.715,-117.58500000000001,41.625,167.175,11.7253898,0.2517203,41854149,439549,true,true,22
47.83500000000001,-127.66499999999999,-58.365,-7.965000000000003,11.4360466,6.6346895,41854149,11917959,true,true,23
66.195,-13.094999999999999,23.174999999999997,-116.41499999999999,11.1215933,7.1965043,41854149,15184130,true,true,24
-47.925000000000004,-85.905,49.995000000000005,-134.145,11.764091,0.9532281,41854149,1750174,true,true,25
-66.375,89.77499999999998,56.29499999999999,12.014999999999986,11.2170854,5.977733,41854149,11551356,true,true,26
84.91499999999999,135.765,68.98499999999999,47.204999999999984,11.6859662,0.8759033,41854149,2351400,true,true,27
-18.405,98.95499999999998,82.39499999999998,98.14499999999998,10.9013826,10.5525222,41854149,18903135,true,true,28
7.60499999999999,69.345,-32.355000000000004,-24.435000000000002,11.2615835,1.2331774,41854149,2619970,true,true,29
-28.035000000000004,-10.66500000000002,41.715,-55.485,11.2856252,0.4833012,41854149,1033552,true,true,30
-6.615000000000009,95.445,16.96499999999999,-152.325,11.1805656,1.3548883,41854149,2762854,true,true,31
-69.16499999999999,-13.63500000000002,-61.785,158.175,11.465097,6.8416904,41854149,14060591,true,true,32
88.60499999999999,10.484999999999985,85.725,-30.015000000000015,11.1248585,0.5159135,41854149,1375772,true,true,33
60.79499999999999,175.815,-5.445000000000007,-134.055,11.4314776,0.5093819,41854149,766855,true,true,34
-67.995,75.10499999999999,-48.825,-169.695,11.3123532,2.283408,41854149,5187687,true,true,35
-60.435,-25.064999999999998,-56.385,-68.53500000000001,11.7287638,0.6045317,41854149,1475252,true,true,36
-47.835,-94.545,6.075000000000003,49.185,11.6358298,4.368088,41854149,8811818,true,true,37
-13.545000000000002,144.04500000000002,-6.435000000000002,-165.915,11.039441,0.1828767,41854149,446560,true,true,38
-15.704999999999998,-0.585000000000008,42.07499999999999,-139.815,11.1955559,7.6530311,41854149,14605628,true,true,39
-73.845,-23.085000000000008,81.04499999999999,76.45499999999998,11.4650159,8.6806646,41854149,14808051,true,true,40
-23.805000000000007,-169.605,69.345,-64.03500000000001,11.3356027,9.7210299,41854149,16770184,true,true,41
-58.365,-143.415,6.164999999999992,-175.815,11.2401166,0.4799595,41854149,823960,true,true,42
-59.085,-150.165,73.66499999999999,-89.055,11.2896951,10.7566227,41854149,18212897,true,true,43
-26.325000000000003,-46.66499999999999,-56.655,93.82499999999999,11.3701161,4.7815856,41854149,9313794,true,true,44
13.004999999999995,-170.685,-4.454999999999998,170.505,11.436219,0.1274549,41854149,37788,true,true,45
-27.945,-141.975,88.785,141.97499999999997,11.2544199,5.8096243,41854149,9292515,true,true,46
6.974999999999994,-37.935,18.765,-175.455,11.4397137,8.0256903,41854149,15095274,true,true,47
-21.644999999999996,-109.665,40.54499999999999,-134.685,11.2746187,0.3260167,41854149,696722,true,true,48
73.66499999999999,168.79499999999996,-49.455,133.33499999999998,11.3856275,2.3749838,41854149,4359274,true,true,49
-49.275,8.86499999999998,-37.035000000000004,-1.4850000000000136,11.3017716,0.0221054,41854149,15727,true,true,50
-43.245000000000005,75.375,20.474999999999994,-116.775,11.2674357,6.7236245,41854149,12428165,true,true,51
